Date,Jour férié
01/01/2005,1er janvier
28/03/2005,Lundi de Pâques
01/05/2005,1er mai
05/05/2005,Ascension
08/05/2005,8 mai
16/05/2005,Lundi de Pentecôte
14/07/2005,14 juillet
15/08/2005,Assomption
01/11/2005,Toussaint
11/11/2005,11 novembre
25/12/2005,Jour de Noël
01/01/2006,1er janvier
17/04/2006,Lundi de Pâques
01/05/2006,1er mai
08/05/2006,8 mai
25/05/2006,Ascension
05/06/2006,Lundi de Pentecôte
14/07/2006,14 juillet
15/08/2006,Assomption
01/11/2006,Toussaint
11/11/2006,11 novembre
25/12/2006,Jour de Noël
01/01/2007,1er janvier
09/04/2007,Lundi de Pâques
01/05/2007,1er mai
08/05/2007,8 mai
17/05/2007,Ascension
28/05/2007,Lundi de Pentecôte
14/07/2007,14 juillet
15/08/2007,Assomption
01/11/2007,Toussaint
11/11/2007,11 novembre
25/12/2007,Jour de Noël
01/01/2008,1er janvier
24/03/2008,Lundi de Pâques
01/05/2008,Ascension
08/05/2008,8 mai
12/05/2008,Lundi de Pentecôte
14/07/2008,14 juillet
15/08/2008,Assomption
01/11/2008,Toussaint
11/11/2008,11 novembre
25/12/2008,Jour de Noël
01/01/2009,1er janvier
13/04/2009,Lundi de Pâques
01/05/2009,1er mai
08/05/2009,8 mai
21/05/2009,Ascension
01/06/2009,Lundi de Pentecôte
14/07/2009,14 juillet
15/08/2009,Assomption
01/11/2009,Toussaint
11/11/2009,11 novembre
25/12/2009,Jour de Noël
01/01/2010,1er janvier
05/04/2010,Lundi de Pâques
01/05/2010,1er mai
08/05/2010,8 mai
13/05/2010,Ascension
24/05/2010,Lundi de Pentecôte
14/07/2010,14 juillet
15/08/2010,Assomption
01/11/2010,Toussaint
11/11/2010,11 novembre
25/12/2010,Jour de Noël
01/01/2011,1er janvier
25/04/2011,Lundi de Pâques
01/05/2011,1er mai
08/05/2011,8 mai
02/06/2011,Ascension
13/06/2011,Lundi de Pentecôte
14/07/2011,14 juillet
15/08/2011,Assomption
01/11/2011,Toussaint
11/11/2011,11 novembre
25/12/2011,Jour de Noël
01/01/2012,1er janvier
09/04/2012,Lundi de Pâques
01/05/2012,1er mai
08/05/2012,8 mai
17/05/2012,Ascension
28/05/2012,Lundi de Pentecôte
14/07/2012,14 juillet
15/08/2012,Assomption
01/11/2012,Toussaint
11/11/2012,11 novembre
25/12/2012,Jour de Noël
01/01/2013,1er janvier
01/04/2013,Lundi de Pâques
01/05/2013,1er mai
08/05/2013,8 mai
09/05/2013,Ascension
20/05/2013,Lundi de Pentecôte
14/07/2013,14 juillet
15/08/2013,Assomption
01/11/2013,Toussaint
11/11/2013,11 novembre
25/12/2013,Jour de Noël
01/01/2014,1er janvier
21/04/2014,Lundi de Pâques
01/05/2014,1er mai
08/05/2014,8 mai
29/05/2014,Ascension
09/06/2014,Lundi de Pentecôte
14/07/2014,14 juillet
15/08/2014,Assomption
01/11/2014,Toussaint
11/11/2014,11 novembre
25/12/2014,Jour de Noël
01/01/2015,1er janvier
06/04/2015,Lundi de Pâques
01/05/2015,1er mai
08/05/2015,8 mai
14/05/2015,Ascension
25/05/2015,Lundi de Pentecôte
14/07/2015,14 juillet
15/08/2015,Assomption
01/11/2015,Toussaint
11/11/2015,11 novembre
25/12/2015,Jour de Noël
01/01/2016,1er janvier
28/03/2016,Lundi de Pâques
01/05/2016,1er mai
05/05/2016,Ascension
08/05/2016,8 mai
16/05/2016,Lundi de Pentecôte
14/07/2016,14 juillet
15/08/2016,Assomption
01/11/2016,Toussaint
11/11/2016,11 novembre
25/12/2016,Jour de Noël
01/01/2017,1er janvier
17/04/2017,Lundi de Pâques
01/05/2017,1er mai
08/05/2017,8 mai
25/05/2017,Ascension
05/06/2017,Lundi de Pentecôte
14/07/2017,14 juillet
15/08/2017,Assomption
01/11/2017,Toussaint
11/11/2017,11 novembre
25/12/2017,Jour de Noël
01/01/2018,1er janvier
02/04/2018,Lundi de Pâques
01/05/2018,1er mai
08/05/2018,8 mai
10/05/2018,Ascension
21/05/2018,Lundi de Pentecôte
14/07/2018,14 juillet
15/08/2018,Assomption
01/11/2018,Toussaint
11/11/2018,11 novembre
25/12/2018,Jour de Noël
01/01/2019,1er janvier
22/04/2019,Lundi de Pâques
01/05/2019,1er mai
08/05/2019,8 mai
30/05/2019,Ascension
10/06/2019,Lundi de Pentecôte
14/07/2019,14 juillet
15/08/2019,Assomption
01/11/2019,Toussaint
11/11/2019,11 novembre
25/12/2019,Jour de Noël
01/01/2020,1er janvier
13/04/2020,Lundi de Pâques
01/05/2020,1er mai
08/05/2020,8 mai
21/05/2020,Ascension
01/06/2020,Lundi de Pentecôte
14/07/2020,14 juillet
15/08/2020,Assomption
01/11/2020,Toussaint
11/11/2020,11 novembre
25/12/2020,Jour de Noël
01/01/2021,1er janvier
05/04/2021,Lundi de Pâques
01/05/2021,1er mai
08/05/2021,8 mai
13/05/2021,Ascension
24/05/2021,Lundi de Pentecôte
14/07/2021,14 juillet
15/08/2021,Assomption
01/11/2021,Toussaint
11/11/2021,11 novembre
25/12/2021,Jour de Noël
01/01/2022,1er janvier
18/04/2022,Lundi de Pâques
01/05/2022,1er mai
08/05/2022,8 mai
26/05/2022,Ascension
06/06/2022,Lundi de Pentecôte
14/07/2022,14 juillet
15/08/2022,Assomption
01/11/2022,Toussaint
11/11/2022,11 novembre
25/12/2022,Jour de Noël
01/01/2023,1er janvier
10/04/2023,Lundi de Pâques
01/05/2023,1er mai
08/05/2023,8 mai
18/05/2023,Ascension
29/05/2023,Lundi de Pentecôte
14/07/2023,14 juillet
15/08/2023,Assomption
01/11/2023,Toussaint
11/11/2023,11 novembre
25/12/2023,Jour de Noël
01/01/2024,1er janvier
01/04/2024,Lundi de Pâques
01/05/2024,1er mai
08/05/2024,8 mai
09/05/2024,Ascension
20/05/2024,Lundi de Pentecôte
14/07/2024,14 juillet
15/08/2024,Assomption
01/11/2024,Toussaint
11/11/2024,11 novembre
25/12/2024,Jour de Noël
01/01/2025,1er janvier
21/04/2025,Lundi de Pâques
01/05/2025,1er mai
08/05/2025,8 mai
29/05/2025,Ascension
09/06/2025,Lundi de Pentecôte
14/07/2025,14 juillet
15/08/2025,Assomption
01/11/2025,Toussaint
11/11/2025,11 novembre
25/12/2025,Jour de Noël
01/01/2026,1er janvier
06/04/2026,Lundi de Pâques
01/05/2026,1er mai
08/05/2026,8 mai
14/05/2026,Ascension
25/05/2026,Lundi de Pentecôte
14/07/2026,14 juillet
15/08/2026,Assomption
01/11/2026,Toussaint
11/11/2026,11 novembre
25/12/2026,Jour de Noël
01/01/2027,1er janvier
29/03/2027,Lundi de Pâques
01/05/2027,1er mai
06/05/2027,Ascension
08/05/2027,8 mai
17/05/2027,Lundi de Pentecôte
14/07/2027,14 juillet
15/08/2027,Assomption
01/11/2027,Toussaint
11/11/2027,11 novembre
25/12/2027,Jour de Noël
01/01/2028,1er janvier
17/04/2028,Lundi de Pâques
01/05/2028,1er mai
08/05/2028,8 mai
25/05/2028,Ascension
05/06/2028,Lundi de Pentecôte
14/07/2028,14 juillet
15/08/2028,Assomption
01/11/2028,Toussaint
11/11/2028,11 novembre
25/12/2028,Jour de Noël
